ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit
ABC994289, ,1/1/2013, , , ,Verified,24,ZIP3,NM,N,N,735,0,0,0,0,40
ABC994296, ,1/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,1123,0,0,0,0,458
ABC994296, ,2/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,1123,0,0,0,0,458
ABC994296, ,3/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,1123,0,0,0,0,458
ABC994307, ,3/1/2013, , , ,Verified,27,ZIP1,NM,N,N,0,0,0,0,0,400
ABC994328, ,1/1/2013, , , ,Verified,30,ZIP2,MA,N,N,665,0,0,0,904,1268
ABC994328, ,2/1/2013, , , ,Verified,30,ZIP2,MA,N,N,665,0,0,0,904,1268
ABC994328, ,3/1/2013, , , ,Verified,30,ZIP2,MA,N,N,603,0,0,0,904,1304
ABC994372, ,1/1/2013, , , ,Verified,71,ZIP2,NM,N,N,0,0,0,0,773,400
ABC994372, ,2/1/2013, , , ,Verified,71,ZIP2,NM,N,N,0,0,0,0,773,400
ABC994372, ,3/1/2013, , , ,Verified,71,ZIP2,NM,N,N,0,0,0,0,773,400
ABC994375, ,1/1/2013, , , ,Verified,62,ZIP3,DI,N,N,491,0,0,0,604,186
ABC994375, ,2/1/2013, , , ,Verified,62,ZIP3,DI,N,N,491,0,0,0,604,186
ABC994375, ,3/1/2013, , , ,Verified,62,ZIP3,DI,N,N,491,0,0,0,604,186
ABC994383, ,1/1/2013, , , ,Verified,61,ZIP4,NM,N,N,0,0,0,0,0,0
ABC994383, ,2/1/2013, , , ,Verified,61,ZIP4,NM,N,N,0,0,0,0,0,0
ABC994383, ,3/1/2013, , , ,Verified,61,ZIP4,NM,N,N,0,0,0,0,0,0
ABC994411,320,1/1/2013, ,320, ,Verified,30,ZIP2,NM,N,N,1055,0,0,0,0,784
ABC994411,320,2/1/2013, ,320, ,Verified,30,ZIP2,NM,N,N,1055,0,0,0,0,784
ABC994411,320,3/1/2013, ,320, ,Verified,30,ZIP2,NM,N,N,1055,0,0,0,0,784
ABC994426, ,1/1/2013, , , ,Verified,61,ZIP4,NM,N,N,433,0,415,0,635.42,220
ABC994426, ,2/1/2013, , , ,Verified,61,ZIP4,NM,N,N,433,0,415,0,635.42,220
ABC994426, ,3/1/2013, , , ,Verified,61,ZIP4,NM,N,N,433,0,415,0,635.42,220
ABC994480,436,1/1/2013, , ,436,Unverified,54,ZIP5,DI,N,N,882,0,0,0,804,32
ABC994480,436,2/1/2013, , ,436,Unverified,54,ZIP5,DI,N,N,882,0,0,0,804,32
ABC994480,436,3/1/2013, , ,436,Unverified,54,ZIP5,DI,N,N,882,0,0,0,804,32
ABC994526, ,2/1/2013, , , ,Verified,30,ZIP4,NM,N,N,0,0,0,0,704,1052
ABC994526, ,3/1/2013, , , ,Verified,30,ZIP4,NM,N,N,0,0,0,0,704,1052
ABC994539, ,1/1/2013, , , ,Verified,55,ZIP5,MA,N,N,622,0,0,0,1302,2710
ABC994539, ,2/1/2013, , , ,Verified,55,ZIP5,MA,N,N,469,0,0,0,1302,2802
ABC994539, ,3/1/2013, , , ,Verified,55,ZIP5,MA,N,N,469,0,0,0,1302,2802
ABC994587, ,1/1/2013, , , ,Verified,38,ZIP2,DI,N,N,320,0,0,0,804,288
ABC994587, ,2/1/2013, , , ,Verified,38,ZIP2,DI,N,N,339,0,0,0,804,276
ABC994587, ,3/1/2013, , , ,Verified,38,ZIP2,DI,N,N,339,0,0,0,804,276
ABC994601, ,1/1/2013, , , ,Verified,64,ZIP4,DI,N,N,0,0,0,0,0,0
ABC994601, ,2/1/2013, , , ,Verified,64,ZIP4,DI,N,N,0,0,0,0,0,0
ABC994601, ,3/1/2013, , , ,Verified,64,ZIP4,DI,N,N,0,0,0,0,0,0
