ID,Benefit_Amt,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Number_Adults,Number_Children
ABC993929,791, ,2/1/2013, , , ,Verified,25,ZIP5,NM,N,N,0,0,0,0,1238.43,1336,3,1
ABC993929,791, ,3/1/2013, , , ,Verified,25,ZIP5,NM,N,N,0,0,0,0,1238.43,1336,3,1
ABC993951,727, ,1/1/2013, , , ,Verified,33,ZIP1,NM,N,N,0,0,0,0,0,0,2,3
ABC993951,727, ,2/1/2013, , , ,Verified,33,ZIP1,NM,N,N,0,0,0,0,0,0,2,3
ABC993951,727, ,3/1/2013, , , ,Verified,33,ZIP1,NM,N,N,0,0,0,0,0,0,2,3
ABC993959,403, ,1/1/2013, , , ,Verified,27,ZIP3,MA,N,N,867,0,0,0,0,612,2,3
ABC993959,403, ,2/1/2013, , , ,Verified,27,ZIP3,MA,N,N,867,0,0,0,0,612,2,3
ABC993959,403, ,3/1/2013, , , ,Verified,27,ZIP3,MA,N,N,867,0,0,0,0,612,2,3
ABC993965,0, ,1/1/2013, , , ,Verified,26,ZIP2,NM,N,N,523,0,0,0,0,500,1,1
ABC993965,0, ,2/1/2013, , , ,Verified,26,ZIP2,NM,N,N,523,0,0,0,0,500,1,1
ABC993965,0, ,3/1/2013, , , ,Verified,26,ZIP2,NM,N,N,523,0,0,0,0,500,1,1
ABC993978,349,234,2/1/2013,234, , ,Verified,24,ZIP2,NM,N,N,1132,0,0,0,536,452,2,1
ABC993978,342, ,3/1/2013, , , ,Verified,24,ZIP2,NM,N,N,627,0,0,0,536,438,2,1
ABC993985,323, ,1/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC993985,323, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC993985,323, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC993986,376, ,1/1/2013, , , ,Verified,24,ZIP1,NM,N,N,512,0,0,0,436,506,2,2
ABC993986,376, ,2/1/2013, , , ,Verified,24,ZIP1,NM,N,N,512,0,0,0,436,506,2,2
ABC993986,376, ,3/1/2013, , , ,Verified,24,ZIP1,NM,N,N,512,0,0,0,436,506,2,2
ABC994035,490, ,1/1/2013, , , ,Verified,24,ZIP1,MA,N,N,0,0,0,0,336,734,2,1
ABC994035,490, ,2/1/2013, , , ,Verified,24,ZIP1,MA,N,N,0,0,0,0,336,734,2,1
ABC994035,490, ,3/1/2013, , , ,Verified,24,ZIP1,MA,N,N,0,0,0,0,336,734,2,1
ABC994090,791, ,1/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,1604,1336,1,3
ABC994090,791, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,1604,1336,1,3
ABC994090,791, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,1604,1336,1,3
ABC994093,228, ,1/1/2013, , , ,Verified,25,ZIP4,,N,N,450,0,0,0,686,210,1,0
ABC994093,228, ,2/1/2013, , , ,Verified,25,ZIP4,,N,N,450,0,0,0,686,210,1,0
ABC994093,228, ,3/1/2013, , , ,Verified,25,ZIP4,,N,N,450,0,0,0,686,210,1,0
ABC994102,139, ,1/1/2013, , , ,Verified,31,ZIP1,NM,N,N,1320,189,0,0,604,32,1,2
ABC994102,139, ,2/1/2013, , , ,Verified,31,ZIP1,NM,N,N,1320,189,0,0,604,32,1,2
ABC994102,139, ,3/1/2013, , , ,Verified,31,ZIP1,NM,N,N,1320,189,0,0,604,32,1,2
ABC994127,587, ,1/1/2013, , , ,Verified,27,ZIP2,MA,N,N,0,0,0,0,0,0,2,3
ABC994127,587, ,2/1/2013, , , ,Verified,27,ZIP2,MA,N,N,0,0,0,0,0,0,2,3
ABC994127,587, ,3/1/2013, , , ,Verified,27,ZIP2,MA,N,N,0,0,0,0,0,0,2,3
ABC994128,0,318,1/1/2013, ,318, ,Verified,24,ZIP2,NM,N,,1327,0,0,0,236,620,3,1
ABC994128,0,318,2/1/2013, ,318, ,Verified,24,ZIP2,NM,N,,1327,0,0,0,236,620,3,1
ABC994128,0,318,3/1/2013, ,318, ,Verified,24,ZIP2,NM,N,,1327,0,0,0,236,620,3,1
ABC994132,0, ,1/1/2013, , , ,Unverified,24,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
ABC994132,0, ,2/1/2013, , , ,Unverified,24,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
ABC994132,0, ,3/1/2013, , , ,Unverified,24,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
ABC994136,0, ,1/1/2013, , , ,Unverified,24,ZIP1,NM,N,,0,0,0,0,0,0,1,0
ABC994136,0, ,2/1/2013, , , ,Unverified,24,ZIP1,NM,N,,0,0,0,0,0,0,1,0
ABC994136,0, ,3/1/2013, , , ,Unverified,24,ZIP1,NM,N,,0,0,0,0,0,0,1,0
ABC994138,323, ,1/1/2013, , , ,Verified,24,ZIP5,,N,N,0,0,0,0,923,400,1,0
ABC994138,323, ,2/1/2013, , , ,Verified,24,ZIP5,,N,N,0,0,0,0,923,400,1,0
ABC994138,323, ,3/1/2013, , , ,Verified,24,ZIP5,,N,N,0,0,0,0,923,400,1,0
ABC994144,331, ,1/1/2013, , , ,Verified,25,ZIP3,NM,N,N,0,0,0,0,0,0,1,1
ABC994145,323, ,1/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC994145,323, ,2/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC994145,323, ,3/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC994151,288, ,2/1/2013, , , ,Verified,24,ZIP2,NM,N,N,807,0,0,0,666,330,1,1
ABC994151,288, ,3/1/2013, , , ,Verified,24,ZIP2,NM,N,N,807,0,0,0,666,330,1,1
ABC994156,323, ,1/1/2013, , , ,Unverified,25,ZIP2,NM,N,Y,0,0,0,0,436,400,1,0
ABC994156,323, ,2/1/2013, , , ,Unverified,25,ZIP2,NM,N,Y,0,0,0,0,436,400,1,0
ABC994156,323, ,3/1/2013, , , ,Unverified,25,ZIP2,NM,N,Y,0,0,0,0,436,400,1,0
ABC994159,139, ,1/1/2013, , , ,Verified,25,ZIP3,NM,N,N,750,0,0,0,767,32,1,0
ABC994159,139, ,2/1/2013, , , ,Verified,25,ZIP3,NM,N,N,787,0,0,0,767,32,1,0
ABC994159,139,110,3/1/2013,110, , ,Verified,25,ZIP3,NM,N,N,858,0,0,0,767,32,1,0
ABC994166,323, ,1/1/2013, , , ,Verified,26,ZIP1,MA,N,N,0,0,0,0,0,400,1,0
ABC994166,323, ,2/1/2013, , , ,Verified,26,ZIP1,MA,N,N,0,0,0,0,0,400,1,0
ABC994166,323, ,3/1/2013, , , ,Verified,26,ZIP1,MA,N,N,0,0,0,0,0,400,1,0
ABC994178,323, ,2/1/2013, , , ,Unverified,27,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC994178,323, ,3/1/2013, , , ,Unverified,27,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC994186,0, ,1/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,0,1,0
ABC994186,0, ,2/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,0,1,0
ABC994194,414, ,1/1/2013, , , ,Verified,24,ZIP1,NM,N,N,387,0,0,0,0,582,1,1
ABC994194,414, ,2/1/2013, , , ,Verified,24,ZIP1,NM,N,N,387,0,0,0,0,582,1,1
ABC994194,490, ,3/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,734,1,1
ABC994198,323, ,1/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,779,400,1,1
ABC994198,490, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,779,734,1,1
ABC994198,490, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,779,734,1,1
ABC994199,322, ,1/1/2013, , , ,Verified,28,ZIP1,NM,N,N,138,0,0,0,957.48,398,1,0
ABC994199,322, ,2/1/2013, , , ,Verified,28,ZIP1,NM,N,N,138,0,0,0,957.48,398,1,0
ABC994199,322, ,3/1/2013, , , ,Verified,28,ZIP1,NM,N,N,138,0,0,0,957.48,398,1,0
ABC994201,323, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC994201,323, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC994239,0, ,1/1/2013, , , ,Unverified,24,ZIP5,NM,N,N,0,0,0,0,0,400,1,0
ABC994246,407, ,1/1/2013, , , ,Unverified,25,ZIP5,,N,Y,941,0,0,0,1104,568,2,1
ABC994255,378,916,1/1/2013, , ,916,Unverified,24,ZIP5,NM,N,N,1036,0,0,0,1204,510,2,1
ABC994255,378,916,2/1/2013, , ,916,Unverified,24,ZIP5,NM,N,N,1036,0,0,0,1204,510,2,1
ABC994255,378,916,3/1/2013, , ,916,Unverified,24,ZIP5,NM,N,N,1036,0,0,0,1204,510,2,1
ABC994261,584, ,1/1/2013, , , ,Verified,24,ZIP5,NM,N,N,349,0,0,0,0,922,1,2
ABC994261,584, ,2/1/2013, , , ,Verified,24,ZIP5,NM,N,N,349,0,0,0,0,922,1,2
ABC994261,490, ,3/1/2013, , , ,Verified,24,ZIP5,NM,N,N,0,0,0,0,604,734,1,2
ABC994276,323, ,1/1/2013, , , ,Verified,24,ZIP2,,N,,0,0,0,0,0,400,1,0
ABC994276,323, ,2/1/2013, , , ,Verified,24,ZIP2,,N,,0,0,0,0,0,400,1,0
ABC994276,323, ,3/1/2013, , , ,Verified,24,ZIP2,,N,,0,0,0,0,0,400,1,0
ABC994278,0, ,1/1/2013, , , ,Verified,25,ZIP3,NM,N,N,0,0,0,0,0,734,1,1
ABC994289,143, ,1/1/2013, , , ,Verified,24,ZIP3,NM,N,N,735,0,0,0,0,40,1,0
ABC994296,352, ,1/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,1123,0,0,0,0,458,2,1
ABC994296,352, ,2/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,1123,0,0,0,0,458,2,1
ABC994296,352, ,3/1/2013, , , ,Unverified,24,ZIP2,NM,N,N,1123,0,0,0,0,458,2,1
ABC994307,323, ,3/1/2013, , , ,Verified,27,ZIP1,NM,N,N,0,0,0,0,0,400,1,0
ABC994328,757, ,1/1/2013, , , ,Verified,30,ZIP2,MA,N,N,665,0,0,0,904,1268,1,4
ABC994328,757, ,2/1/2013, , , ,Verified,30,ZIP2,MA,N,N,665,0,0,0,904,1268,1,4
